episode,level_id,level_name,total_reward,steps,success,epsilon,loss,collected_key,solved_puzzles,opened_door,moving_avg_reward,moving_success_rate
146,1,Alternative Maze Room,-459,150,0,0.6449010937527411,0.4357819400727749,0,1,0,-475.98,0.0
147,1,Alternative Maze Room,-418,150,0,0.6429663904714829,0.38018726333975794,0,1,0,-474.97,0.0
148,0,Classic Escape Room,-426,150,0,0.6410374913000684,0.40664234541356564,1,1,0,-474.5,0.0
149,0,Classic Escape Room,-388,150,0,0.6391143788261682,0.38772043312589327,1,1,0,-473.29,0.0
150,0,Classic Escape Room,-353,150,0,0.6371970356896897,0.40719444430122775,1,0,0,-470.88,0.0
151,1,Alternative Maze Room,-495,150,0,0.6352854445826206,0.3668188039710124,0,0,0,-470.03,0.0
152,1,Alternative Maze Room,-421,150,0,0.6333795882488727,0.36225011125206946,0,1,0,-469.46,0.0
153,0,Classic Escape Room,-367,150,0,0.6314794494841262,0.35837131994465987,1,1,0,-468.39,0.0
154,0,Classic Escape Room,-408,150,0,0.6295850111356738,0.42502861715853213,1,1,0,-467.8,0.0
155,0,Classic Escape Room,-291,150,0,0.6276962561022668,0.40169069866339363,1,2,0,-465.67,0.0
156,0,Classic Escape Room,-384,150,0,0.62581316733396,0.37531732430060705,1,0,0,-463.09,0.0
157,1,Alternative Maze Room,-393,150,0,0.623935727831958,0.3536378177255392,0,1,0,-461.38,0.0
158,2,Advanced Puzzle Room,-400,150,0,0.6220639206484622,0.3834995128462712,1,2,0,-461.31,0.0
159,1,Alternative Maze Room,-423,150,0,0.6201977288865168,0.3349204811453819,0,3,0,-460.85,0.0
160,1,Alternative Maze Room,-360,150,0,0.6183371356998573,0.41989955541988216,0,2,0,-458.58,0.0
161,0,Classic Escape Room,-412,150,0,0.6164821242927577,0.36373837895691397,1,1,0,-457.63,0.0
162,0,Classic Escape Room,-347,150,0,0.6146326779198794,0.39419615430136523,1,1,0,-455.72,0.0
163,2,Advanced Puzzle Room,-404,150,0,0.6127887798861198,0.4111885192245245,1,0,0,-453.86,0.0
164,0,Classic Escape Room,-384,150,0,0.6109504135464614,0.3516725773115953,0,1,0,-452.2,0.0
165,2,Advanced Puzzle Room,-455,150,0,0.609117562305822,0.36789619634548826,0,0,0,-451.9,0.0
166,2,Advanced Puzzle Room,-373,150,0,0.6072902096189046,0.4273014706249038,1,0,0,-450.68,0.0
167,2,Advanced Puzzle Room,-385,150,0,0.6054683389900478,0.34966166496276857,0,0,0,-449.7,0.0
168,1,Alternative Maze Room,-368,150,0,0.6036519339730777,0.36815945494920016,0,1,0,-449.14,0.0
169,2,Advanced Puzzle Room,-399,150,0,0.6018409781711584,0.36308935028811296,1,0,0,-447.71,0.0
170,0,Classic Escape Room,-336,150,0,0.6000354552366449,0.34410612523555756,1,1,0,-445.8,0.0
171,0,Classic Escape Room,-351,150,0,0.598235348870935,0.39327286211152873,0,1,0,-443.46,0.0
172,2,Advanced Puzzle Room,-362,150,0,0.5964406428243222,0.36927505291998386,1,1,0,-442.71,0.0
173,0,Classic Escape Room,-393,150,0,0.5946513208958493,0.36299326536556087,0,1,0,-441.87,0.0
174,0,Classic Escape Room,-371,150,0,0.5928673669331617,0.3841953976700703,1,1,0,-440.57,0.0
175,1,Alternative Maze Room,-386,150,0,0.5910887648323622,0.34683852180838587,0,1,0,-439.81,0.0
176,0,Classic Escape Room,-334,150,0,0.5893154985378651,0.3630322634180387,0,1,0,-437.89,0.0
177,1,Alternative Maze Room,-438,150,0,0.5875475520422515,0.3529030185565352,0,1,0,-435.28,0.0
178,2,Advanced Puzzle Room,-443,150,0,0.5857849093861247,0.34758386785785356,1,0,0,-434.88,0.0
179,0,Classic Escape Room,-337,150,0,0.5840275546579663,0.35577447958290576,1,1,0,-433.66,0.0
180,2,Advanced Puzzle Room,-399,150,0,0.5822754719939924,0.3346754657601317,1,0,0,-433.59,0.0
181,0,Classic Escape Room,-332,150,0,0.5805286455780104,0.3719590593377749,1,1,0,-432.61,0.0
182,1,Alternative Maze Room,-455,150,0,0.5787870596412764,0.3311763488252958,0,0,0,-431.88,0.0
183,0,Classic Escape Room,-389,150,0,0.5770506984623526,0.37596177086234095,1,1,0,-431.41,0.0
184,2,Advanced Puzzle Room,-378,150,0,0.5753195463669655,0.4067744438101848,1,0,0,-430.0,0.0
185,2,Advanced Puzzle Room,-440,150,0,0.5735935877278646,0.3680150606110692,0,0,0,-429.73,0.0
186,2,Advanced Puzzle Room,-367,150,0,0.571872806964681,0.34219992933173976,1,0,0,-428.83,0.0
187,0,Classic Escape Room,-308,150,0,0.5701571885437869,0.3374657343948881,1,1,0,-426.51,0.0
188,1,Alternative Maze Room,-363,150,0,0.5684467169781556,0.33843728378415106,0,1,0,-424.46,0.0
189,0,Classic Escape Room,-327,150,0,0.5667413768272211,0.3726054236541192,1,1,0,-422.74,0.0
190,0,Classic Escape Room,-270,150,0,0.5650411526967395,0.3652576648319761,1,1,0,-420.41,0.0
191,0,Classic Escape Room,-326,150,0,0.5633460292386493,0.32483071378121775,0,1,0,-418.62,0.0
192,2,Advanced Puzzle Room,-430,150,0,0.5616559911509333,0.3513441791633765,0,0,0,-418.54,0.0
193,2,Advanced Puzzle Room,-420,150,0,0.5599710231774805,0.33865035387376946,0,0,0,-417.05,0.0
