episode,stage,stage_name,rows,cols,wall_density,num_puzzles,level_seed,total_reward,steps,success,rolling_success,epsilon,loss
132,1,stage_1_small_easy,6,6,0.1017,1,286,-522,144,0,0.0,0.8762831198969288,0.1637783015353812
133,1,stage_1_small_easy,6,6,0.0908,1,0,-476,144,0,0.0,0.8754068367770318,0.12283291295170784
134,1,stage_1_small_easy,6,6,0.101,1,455,-552,144,0,0.0,0.8745314299402548,0.13224340724344882
135,1,stage_1_small_easy,6,6,0.0942,1,609,-512,144,0,0.0,0.8736568985103146,0.1443641483395671
136,1,stage_1_small_easy,6,6,0.0828,1,312,-474,144,0,0.0,0.8727832416118043,0.09819459622829324
137,1,stage_1_small_easy,6,6,0.1012,1,912,-614,144,0,0.0,0.8719104583701925,0.12409820371410912
138,1,stage_1_small_easy,6,6,0.0966,1,289,-469,144,0,0.0,0.8710385479118223,0.12183598068077117
139,1,stage_1_small_easy,6,6,0.1013,1,978,-446,144,0,0.0,0.8701675093639105,0.1248102089157328
140,1,stage_1_small_easy,6,6,0.0917,1,581,-428,144,0,0.0,0.8692973418545467,0.1385494356509298
141,1,stage_1_small_easy,6,6,0.0849,1,390,-400,144,0,0.0,0.8684280445126921,0.15222128105556798
142,1,stage_1_small_easy,6,6,0.0856,1,362,-502,144,0,0.0,0.8675596164681794,0.1278642997559574
143,1,stage_1_small_easy,6,6,0.0887,1,711,-442,144,0,0.0,0.8666920568517111,0.1147568867309019
144,1,stage_1_small_easy,6,6,0.1061,1,454,-440,144,0,0.0,0.8658253647948594,0.10799576290365723
145,1,stage_1_small_easy,6,6,0.1098,1,908,-526,144,0,0.0,0.8649595394300645,0.15090357680391106
146,1,stage_1_small_easy,6,6,0.0942,1,909,-438,144,0,0.0,0.8640945798906344,0.13685258941000533
147,1,stage_1_small_easy,6,6,0.1075,1,702,-539,144,0,0.0,0.8632304853107438,0.11808090349141923
148,1,stage_1_small_easy,6,6,0.0945,1,635,-588,144,0,0.0,0.862367254825433,0.15666826049952456
149,1,stage_1_small_easy,6,6,0.1149,1,744,-543,144,0,0.0,0.8615048875706075,0.10744346248813802
150,1,stage_1_small_easy,6,6,0.1101,1,195,-446,144,0,0.0,0.8606433826830369,0.11471828619121677
151,1,stage_1_small_easy,6,6,0.0984,1,393,-519,144,0,0.0,0.8597827393003539,0.15391126764006913
152,1,stage_1_small_easy,6,6,0.0969,1,151,-507,144,0,0.0,0.8589229565610536,0.15403220339471269
153,1,stage_1_small_easy,6,6,0.101,1,213,-488,144,0,0.0,0.8580640336044925,0.12767893517027712
154,1,stage_1_small_easy,6,6,0.094,1,437,-431,144,0,0.0,0.857205969570888,0.11340353950961596
155,1,stage_1_small_easy,6,6,0.1092,1,449,-451,144,0,0.0,0.8563487636013172,0.13600049161403957
156,1,stage_1_small_easy,6,6,0.1162,1,239,-469,144,0,0.0,0.8554924148377159,0.12064690777980205
157,1,stage_1_small_easy,6,6,0.0945,1,238,-499,144,0,0.0,0.8546369224228781,0.11843787473885135
