episode,level_id,level_name,total_reward,steps,success,epsilon,loss,collected_key,solved_puzzles,opened_door,moving_avg_reward,moving_success_rate
181,0,Classic Escape Room,124,63,1,0.5805286455780104,0,1,3,1,-335.69,0.21
182,0,Classic Escape Room,117,59,1,0.5787870596412764,0,1,3,1,-330.36,0.22
183,1,Alternative Maze Room,-440,150,0,0.5770506984623526,0,0,2,0,-330.47,0.22
184,0,Classic Escape Room,-482,150,0,0.5753195463669655,0,1,2,0,-330.43,0.22
185,2,Advanced Puzzle Room,-332,150,0,0.5735935877278646,0,1,3,0,-328.78,0.22
186,2,Advanced Puzzle Room,25,76,1,0.571872806964681,0,1,3,1,-323.93,0.23
187,1,Alternative Maze Room,-252,150,0,0.5701571885437869,0,1,3,1,-321.6,0.23
188,2,Advanced Puzzle Room,-335,150,0,0.5684467169781556,0,1,3,1,-320.48,0.23
189,0,Classic Escape Room,187,39,1,0.5667413768272211,0,1,3,1,-312.9,0.24
190,1,Alternative Maze Room,71,75,1,0.5650411526967395,0,1,3,1,-308.02,0.25
191,1,Alternative Maze Room,161,55,1,0.5633460292386493,0,1,3,1,-302.18,0.26
192,2,Advanced Puzzle Room,-185,146,1,0.5616559911509333,0,1,3,1,-299.35,0.27
193,1,Alternative Maze Room,-280,150,0,0.5599710231774805,0,1,3,0,-297.57,0.27
194,0,Classic Escape Room,167,54,1,0.5582911101079481,0,1,3,1,-290.77,0.28
195,1,Alternative Maze Room,46,84,1,0.5566162367776242,0,1,3,1,-286.15,0.29
196,2,Advanced Puzzle Room,110,67,1,0.5549463880672914,0,1,3,1,-280.03,0.3
197,1,Alternative Maze Room,105,61,1,0.5532815489030894,0,1,3,1,-273.94,0.31
198,2,Advanced Puzzle Room,102,58,1,0.5516217042563801,0,1,3,1,-268.59,0.32
199,2,Advanced Puzzle Room,-284,150,0,0.549966839143611,0,1,3,0,-266.37,0.32
200,1,Alternative Maze Room,149,49,1,0.5483169386261801,0,1,3,1,-260.56,0.33
201,0,Classic Escape Room,203,38,1,0.5466719878103016,0,1,3,1,-253.15,0.34
202,0,Classic Escape Room,159,47,1,0.5450319718468707,0,1,3,1,-246.26,0.35
203,1,Alternative Maze Room,123,58,1,0.5433968759313301,0,1,3,1,-240.98,0.36
204,1,Alternative Maze Room,-30,112,1,0.5417666853035361,0,1,3,1,-240.71,0.36
205,2,Advanced Puzzle Room,82,60,1,0.5401413852476254,0,1,3,1,-234.81,0.37
206,0,Classic Escape Room,173,53,1,0.5385209610918825,0,1,3,1,-229.14,0.38
207,0,Classic Escape Room,157,44,1,0.5369053982086068,0,1,3,1,-223.99,0.39
208,1,Alternative Maze Room,-65,126,1,0.535294682013981,0,1,3,1,-219.59,0.4
209,0,Classic Escape Room,-328,150,0,0.5336887979679391,0,1,2,0,-218.77,0.4
210,0,Classic Escape Room,177,41,1,0.5320877315740353,0,1,3,1,-215.57,0.4
211,0,Classic Escape Room,122,55,1,0.5304914683793133,0,1,3,1,-209.76,0.41
212,0,Classic Escape Room,-403,150,0,0.5288999939741753,0,0,3,0,-209.97,0.41
213,0,Classic Escape Room,157,44,1,0.5273132939922528,0,1,3,1,-203.44,0.42
214,1,Alternative Maze Room,58,62,1,0.525731354110276,0,1,3,1,-198.92,0.43
